,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
10,0.2358974358974358,0.8529411764705882,0.764102564102564,0.2325056433408578,0.2945683951175318,0.6666666666666666,0.8615384615384616,0.0,ArrowHead,0.9180327868852458,0.9928200380578708,3.8623809814453125e-05,0.8564102564102565,1.727607250213623
11,0.2282051282051281,0.8676470588235294,0.7717948717948717,0.2572815533980582,0.3151915477285278,0.6666666666666666,0.8769230769230769,1.0,ArrowHead,0.9268292682926828,0.9955741205749278,3.4809112548828125e-05,0.9128205128205128,1.6761231422424316
12,0.3794871794871794,0.8823529411764706,0.6205128205128205,0.1473354231974921,0.1628795702309128,0.3333333333333333,0.9076923076923076,2.0,ArrowHead,0.9365079365079364,0.9943380999635172,3.671646118164063e-05,0.882051282051282,1.683739185333252
13,0.2282051282051281,0.8676470588235294,0.7717948717948717,0.2572815533980582,0.3151915477285278,0.6666666666666666,0.8769230769230769,3.0,ArrowHead,0.9268292682926828,0.9913803232925456,3.647804260253906e-05,0.8461538461538461,1.6951441764831543
14,0.5769230769230769,0.8088235294117647,0.4230769230769231,-0.0728155339805824,-0.0892051550175078,0.0,0.8461538461538461,4.0,ArrowHead,0.894308943089431,0.9910134711631216,3.719329833984375e-05,0.8153846153846154,1.7215149402618408
15,0.2589743589743589,0.8088235294117647,0.7410256410256411,0.1753731343283582,0.2448215539345476,0.6666666666666666,0.8153846153846154,5.0,ArrowHead,0.8907563025210083,0.995534967936369,3.790855407714844e-05,0.9076923076923076,1.6866307258605957
16,0.3871794871794871,0.8676470588235294,0.6128205128205129,0.1257142857142857,0.1438184991013349,0.3333333333333333,0.8923076923076924,6.0,ArrowHead,0.928,0.989375721146978,3.647804260253906e-05,0.7897435897435898,1.6808586120605469
17,0.2435897435897435,0.8382352941176471,0.7564102564102564,0.210970464135021,0.276247310054915,0.6666666666666666,0.8461538461538461,7.0,ArrowHead,0.9090909090909092,0.9890022566206272,3.814697265625e-05,0.8051282051282052,1.684498310089111
18,0.2128205128205128,0.8970588235294118,0.7871794871794872,0.32,0.3660834522579435,0.6666666666666666,0.9076923076923076,8.0,ArrowHead,0.944,0.9943977429641512,3.8623809814453125e-05,0.8820512820512821,1.685616970062256
19,0.4333333333333332,0.7794117647058824,0.5666666666666667,0.0485074626865672,0.0677166000244493,0.3333333333333333,0.8,9.0,ArrowHead,0.8739495798319328,0.9589618693479036,3.8623809814453125e-05,0.5641025641025641,1.6829886436462402
40,0.3631048387096774,0.9294478527607362,0.6368951612903226,0.265909535931075,0.2660450796428196,0.3125,0.9612903225806452,0.0,CBF,0.962843295638126,0.9882380959810052,0.0001153945922851,0.8300403225806451,21.029226541519165
41,0.3254032258064516,0.9447852760736196,0.6745967741935484,0.3711958851264466,0.3721051961076888,0.375,0.9741935483870968,1.0,CBF,0.9710610932475884,0.9873586256473846,0.0001122951507568,0.8247983870967741,21.04096555709839
42,0.3663306451612903,0.9233128834355828,0.6336693548387097,0.2455100907239399,0.246522576245477,0.3125,0.9548387096774194,2.0,CBF,0.959481361426256,0.9486918084337324,0.0001146793365478,0.6695564516129032,20.95288729667664
43,0.3054435483870967,0.9263803680981596,0.6945564516129032,0.3303663129065388,0.3350953015610045,0.4375,0.9516129032258064,3.0,CBF,0.9609120521172638,0.9827404346036754,0.0001146793365478,0.7828629032258064,20.959542274475098
44,0.3415322580645161,0.9141104294478528,0.6584677419354839,0.2561929595827901,0.2621818424713721,0.375,0.9419354838709676,4.0,CBF,0.9542483660130718,0.992984603293422,0.0001194477081298,0.8778225806451613,21.242645740509037
45,0.392741935483871,0.9294478527607362,0.607258064516129,0.2210679409931436,0.2211948267975506,0.25,0.964516129032258,5.0,CBF,0.962962962962963,0.985272729545044,0.0001125335693359,0.8088709677419355,21.08392333984375
46,0.4288306451612903,0.9171779141104296,0.5711693548387097,0.1382416291364794,0.1383120958967825,0.1875,0.9548387096774194,6.0,CBF,0.9563812600969306,0.9852043071729922,0.0001091957092285,0.8223790322580645,21.02511715888977
47,0.3631048387096774,0.9294478527607362,0.6368951612903226,0.265909535931075,0.2660450796428196,0.3125,0.9612903225806452,7.0,CBF,0.962843295638126,0.9870932557202198,0.0001213550567626,0.8120967741935485,20.40245366096497
48,0.2725806451612903,0.9325153374233128,0.7274193548387097,0.3861691201643272,0.3916968913583555,0.5,0.9548387096774194,8.0,CBF,0.964169381107492,0.9825463686228082,0.0001118183135986,0.803024193548387,21.090431213378903
49,0.298991935483871,0.9386503067484664,0.701008064516129,0.3795203654358584,0.3802530488834022,0.4375,0.964516129032258,9.0,CBF,0.9676375404530744,0.9775739865709048,0.0001118183135986,0.7830645161290323,20.989519357681274
50,0.5052692307692308,0.905893536121673,0.4947307692307692,-0.0106354073671544,-0.0106359615801552,0.0384615384615384,0.951,0.0,ChlorineConcentration,0.9505247376311844,0.9505702490411672,0.0018367767333984,0.4688653846153847,239.87022495269773
51,0.525,0.903041825095057,0.475,-0.0509284650944135,-0.0509392812988318,0.0,0.95,1.0,ChlorineConcentration,0.949050949050949,0.9321532534643854,0.0016350746154785,0.346,238.56673908233645
52,0.5163846153846154,0.9020912547528516,0.4836153846153846,-0.0324732248351564,-0.032474856426154,0.0192307692307692,0.948,2.0,ChlorineConcentration,0.9484742371185592,0.9502194510139274,0.0013089179992675,0.4747115384615384,237.13015484809875
