,data,BA,roc_auc,cv
10,ArrowHead,0.764102564102564,0.8615384615384616,0.0
11,ArrowHead,0.764102564102564,0.923076923076923,1.0
12,ArrowHead,0.6128205128205129,0.8769230769230769,2.0
13,ArrowHead,0.7717948717948717,0.8461538461538461,3.0
14,ArrowHead,0.5897435897435898,0.8102564102564103,4.0
15,ArrowHead,0.7564102564102564,0.9076923076923076,5.0
16,ArrowHead,0.6128205128205129,0.7897435897435898,6.0
17,ArrowHead,0.7564102564102564,0.8051282051282052,7.0
18,ArrowHead,0.4461538461538462,0.8769230769230769,8.0
19,ArrowHead,0.5666666666666667,0.5538461538461539,9.0
40,CBF,0.6729838709677419,0.8165322580645161,0.0
41,CBF,0.5889112903225806,0.7320564516129032,1.0
42,CBF,0.5776209677419355,0.6471774193548386,2.0
43,CBF,0.6433467741935484,0.6816532258064516,3.0
44,CBF,0.6008064516129032,0.8153225806451612,4.0
45,CBF,0.5528225806451612,0.78125,5.0
46,CBF,0.5512096774193549,0.8544354838709678,6.0
47,CBF,0.6433467741935484,0.8143145161290322,7.0
48,CBF,0.6433467741935484,0.7590725806451613,8.0
49,CBF,0.6810483870967742,0.8153225806451613,9.0
50,ChlorineConcentration,0.4885,0.4814423076923076,0.0
51,ChlorineConcentration,0.5021153846153846,0.3594230769230769,1.0
52,ChlorineConcentration,0.5021153846153846,0.4758076923076923,2.0
53,ChlorineConcentration,0.5001153846153846,0.4505192307692307,3.0
54,ChlorineConcentration,0.5006153846153846,0.419576923076923,4.0
55,ChlorineConcentration,0.49,0.4043076923076922,5.0
56,ChlorineConcentration,0.5127307692307692,0.4530192307692308,6.0
57,ChlorineConcentration,0.5027307692307692,0.4377692307692308,7.0
58,ChlorineConcentration,0.49,0.4366346153846154,8.0
59,ChlorineConcentration,0.5107307692307692,0.3733461538461538,9.0
70,ECG200,0.5150375939849624,0.7669172932330828,0.0
71,ECG200,0.8157894736842105,0.9452201933404942,1.0
72,ECG200,0.537593984962406,0.80343716433942,2.0
73,ECG200,0.6052631578947368,0.8431793770139635,3.0
74,ECG200,0.5225563909774436,0.7551020408163265,4.0
75,ECG200,0.6654135338345865,0.7894736842105263,5.0
76,ECG200,0.7406015037593985,0.8689581095596134,6.0
77,ECG200,0.6203007518796992,0.7626208378088077,7.0
78,ECG200,0.8157894736842105,0.8120300751879699,8.0
79,ECG200,0.6691729323308271,0.7712137486573577,9.0
80,ECGFiveDays,0.5332972653944521,0.7773952390320676,0.0
